,Bid Reference No.,Line Item No,Award No.,UNSPSC Code,Year,Award Reference No.,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,contract_duration_days,pub_year,pub_month,pub_dow,pub_epoch_days,time_to_close_days,prebid_lead_days,award_publish_lag_days,award_decision_lag_days,ntp_lag_days,contract_length_days,contract_effectivity_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
contract_duration_days,0.0015524254674082426,-0.0013420344390093002,0.0010201580119591036,0.004679828985378304,0.001003204754597544,-0.00014075799652019973,0.0047915028900026935,0.00563364612144311,0.006327512472188042,-0.004992259798940882,1.0,0.0009051567500592309,0.00017932363743166437,0.00017088606100952193,0.000973864978031799,-0.0008465615484937353,-0.0002775697845613959,-0.00046620711824929746,-0.001269162922087239,-0.0028223707874155423,-0.0005341893571883047,-0.001531953933658154,0.0005255318270389479,-0.0005255318270389636,-0.00019500186956627376,0.00019500186956620229,0.0014727615015705632,0.0010885968071313555,-0.001088596807131199
pub_year,0.3856485073614322,-0.00786282060907071,0.13387444831080292,0.030831928794130416,0.7849717971733904,0.598245854213355,0.010828506274412937,0.040692692274177836,0.03833048525603841,-0.03522170561648293,0.0009051567500592309,1.0,-0.1406329599455246,-0.037247082100325554,0.9763453453388572,-0.2336350756046038,-0.44051523856508573,-0.4157384304381784,-0.3867135336969584,-0.2765254161581034,0.4871069961037097,-0.3545244731476633,-0.16014602341823517,0.16014602341814704,-0.000756079172051837,0.0007560791719850565,-0.0033033952617978358,0.14290212641428127,-0.14290212641407263
pub_month,-0.07409212954320367,0.04758319546258,0.009071642990858105,0.012359092205256779,-0.33713595013430087,0.0312217011146718,0.10392594072584427,0.05850090943145486,0.03729407164417755,0.06316409684068877,0.00017932363743166437,-0.1406329599455246,1.0,-0.015822609860681142,0.07588334443029456,-0.036363066320921705,-0.0483539714315245,-0.019508856744660193,-0.033175824092286525,-0.009641050550726395,0.011592800737967281,-0.020159814419961217,0.05710585468685746,-0.05710585468682739,0.08616331338122704,-0.08616331338120413,-0.03215315225006077,0.1830919183240906,-0.18309191832408528
pub_dow,0.15285645764915173,-0.009218484186102435,0.042404550085986016,-0.009984222874906414,0.0030434261130232827,-0.008659430269600742,-0.030963959779607055,-0.015185223188217644,-0.031666696851673996,-0.021634734495303225,0.00017088606100952193,-0.037247082100325554,-0.015822609860681142,1.0,-0.04215206646632639,-0.04581286281314525,-0.004698906005028656,0.02174924804190287,0.023943043262111274,-0.015562223274701999,0.013129794634050307,-0.03710670820133877,-0.049751011063369384,0.049751011063372055,-0.0318279688421285,0.03182796884212748,0.006696407623234625,0.03361925094439985,-0.033619250944397785
pub_epoch_days,0.3683802465503971,0.0020490497266055017,0.13595070542472953,0.03406852875866577,0.7162304297855308,0.608919519783741,0.033010561795148996,0.054025085240318745,0.047038632291927576,-0.02145661964248038,0.000973864978031799,0.9763453453388572,0.07588334443029456,-0.04215206646632639,1.0,-0.24300733197893998,-0.4538646870399062,-0.42332944923082694,-0.3967638339488111,-0.2799601117985047,0.4922731827299848,-0.36023081132163004,-0.14809886196155275,0.14809886196147035,0.018450712935750416,-0.018450712935811443,-0.010471808414950844,0.18257951666018937,-0.18257951665997613
time_to_close_days,-0.4425930597165932,-0.03201535676157995,-0.3463613852544612,0.008144061665678236,-0.18749749659331197,-0.10195473977382624,-0.0427668132947029,0.06895999276376698,0.05164835954618338,0.002172912430618749,-0.0008465615484937353,-0.2336350756046038,-0.036363066320921705,-0.04581286281314525,-0.24300733197893998,1.0,0.05427669337183109,-0.07870302434215663,-0.07478795820434297,0.2513102722199085,-0.13077177798695191,0.3567609097729133,0.10470340534522012,-0.10470340534520603,0.0584844471371112,-0.05848444713709877,-0.010269285841530137,-0.176526948509311,0.17652694850926293
prebid_lead_days,-0.1623856509948775,0.055848872042740465,-0.09227195917671778,-0.015463234994597097,-0.36399724553505325,-0.08158019633275271,0.08371658060841983,-0.005535789606306889,-0.0015673655185045586,0.04348178836309839,-0.0002775697845613959,-0.44051523856508573,-0.0483539714315245,-0.004698906005028656,-0.4538646870399062,0.05427669337183109,1.0,0.2855838622985564,0.19996029088788272,0.05675157822594342,-0.2618915286107186,0.3570901787443689,0.0377642098717505,-0.03776420987173431,0.033608518871752716,-0.033608518871731136,0.010656032078515473,-0.45539857943457007,0.45539857943449163
award_publish_lag_days,-0.03587587762453283,0.07993948654778087,0.13547668664906348,-0.02707095309269749,-0.3206549444000783,0.1074604605265795,0.13703236068954355,-0.017410687159532222,-0.04864885591037017,0.08055448325782091,-0.00046620711824929746,-0.4157384304381784,-0.019508856744660193,0.02174924804190287,-0.42332944923082694,-0.07870302434215663,0.2855838622985564,1.0,0.5742187776251336,-0.02782652789976897,-0.03673388597036843,-0.02066583424599383,0.14325739892351436,-0.1432573989234933,0.046963276085173214,-0.04696327608514971,-0.006237424858872078,-0.23549930191838572,0.23549930191830856
award_decision_lag_days,-0.06400262038695291,0.048608645740970284,0.049287640587853454,-0.13645536043855022,-0.2814784620158331,-0.12958203393748757,-0.05724392013089701,-0.14959163567008094,0.013555607247700321,-0.005401759389513558,-0.001269162922087239,-0.3867135336969584,-0.033175824092286525,0.023943043262111274,-0.3967638339488111,-0.07478795820434297,0.19996029088788272,0.5742187776251336,1.0,-0.13637462133642925,0.2897145653032936,-0.07010823256811431,0.46153759804793293,-0.4615375980479127,-0.11507720152346991,0.11507720152349364,-0.001157001770004453,-0.14445393338794793,0.14445393338786783
ntp_lag_days,-0.27632196623935495,-0.028391147309473078,-0.2467668481305484,0.020633222277525246,-0.25680105166088,-0.2144458385983507,-0.08295676325550351,0.011872529321521712,-0.04512099981680273,-0.015753247770382485,-0.0028223707874155423,-0.2765254161581034,-0.009641050550726395,-0.015562223274701999,-0.2799601117985047,0.2513102722199085,0.05675157822594342,-0.02782652789976897,-0.13637462133642925,1.0,0.21496758301515942,0.5101091798399295,-0.050957495719114496,0.05095749571914579,0.00034168763462634206,-0.0003416876346051394,0.0003840169768859327,-0.11217738915173302,0.11217738915165816
contract_length_days,0.3331549812070949,0.06518812378061939,0.09996578619879118,-0.07736801672576381,0.39423085060359164,0.3611993151016722,0.0014715729676254895,-0.07916130567048832,0.03306577207618591,-0.03306184586291089,-0.0005341893571883047,0.4871069961037097,0.011592800737967281,0.013129794634050307,0.4922731827299848,-0.13077177798695191,-0.2618915286107186,-0.03673388597036843,0.2897145653032936,0.21496758301515942,1.0,-0.18685725868490335,0.166529814924517,-0.16652981492457394,-0.09076113648771153,0.09076113648767607,-0.016146183970469078,0.05629245076182629,-0.056292450761700766
contract_effectivity_lag_days,-0.3154184396760611,-0.025267789324368507,-0.3709488061791324,-0.01169546725554469,-0.3661303532319426,-0.08672348019688615,-0.04221147999474049,0.019869366201239455,0.0005149437724531179,0.004729560257340399,-0.001531953933658154,-0.3545244731476633,-0.020159814419961217,-0.03710670820133877,-0.36023081132163004,0.3567609097729133,0.3570901787443689,-0.02066583424599383,-0.07010823256811431,0.5101091798399295,-0.18685725868490335,1.0,0.040615231913220334,-0.04061523191320256,0.025766861024793,-0.0257668610247703,-0.0008187944209764854,-0.4554740767366671,0.45547407673658286
high_risk_shortage,-0.16946373293812583,0.09562459423247133,-0.05714880067707343,-0.15005585946932593,-0.15906733592840566,-0.05738005371470794,0.11648152721524996,-0.04968663417445821,-0.01802074979656698,0.08090612872068584,0.0005255318270389479,-0.16014602341823517,0.05710585468685746,-0.049751011063369384,-0.14809886196155275,0.10470340534522012,0.0377642098717505,0.14325739892351436,0.46153759804793293,-0.050957495719114496,0.166529814924517,0.040615231913220334,1.0,-1.0000000000000002,0.016454391007815504,-0.01645439100780076,-0.05207837732740099,-0.006357837823587458,0.00635783782354614
low_risk_shortage,0.16946373293808087,-0.09562459423247364,0.05714880067706302,0.15005585946932914,0.15906733592830327,0.0573800537146303,-0.11648152721525307,0.04968663417445715,0.01802074979656344,-0.08090612872068355,-0.0005255318270389636,0.16014602341814704,-0.05710585468682739,0.049751011063372055,0.14809886196147035,-0.10470340534520603,-0.03776420987173431,-0.1432573989234933,-0.4615375980479127,0.05095749571914579,-0.16652981492457394,-0.04061523191320256,-1.0000000000000002,1.0,-0.016454391007813818,0.01645439100779933,0.05207837732740089,0.00635783782362587,-0.00635783782358233
overstocking,-0.05166808159139622,0.04062283979279059,-0.02716204622164202,0.04132867684914802,-0.03144729151767726,0.10056694534254677,0.43658406512397024,0.5916696681347122,0.37565702220721753,0.6710161510462407,-0.00019500186956627376,-0.000756079172051837,0.08616331338122704,-0.0318279688421285,0.018450712935750416,0.0584844471371112,0.033608518871752716,0.046963276085173214,-0.11507720152346991,0.00034168763462634206,-0.09076113648771153,0.025766861024793,0.016454391007815504,-0.016454391007813818,1.0,-0.9999999999999984,-0.19060373956099386,0.014804676554973174,-0.014804676554973044
understocking,0.05166808159136253,-0.040622839792789564,0.027162046221631146,-0.04132867684914897,0.031447291517597,-0.10056694534259103,-0.4365840651239718,-0.591669668134717,-0.37565702220722313,-0.6710161510462388,0.00019500186956620229,0.0007560791719850565,-0.08616331338120413,0.03182796884212748,-0.018450712935811443,-0.05848444713709877,-0.033608518871731136,-0.04696327608514971,0.11507720152349364,-0.0003416876346051394,0.09076113648767607,-0.0257668610247703,-0.01645439100780076,0.01645439100779933,-0.9999999999999984,1.0,0.190603739560994,-0.014804676554961765,0.014804676554961616
normal_inventory,0.00997192873004551,-0.04406339974081648,0.0012144888941277314,0.041322165739928446,0.008605843818781605,-0.007969054092150268,-0.042954754519660264,0.09541996183590566,-0.0555857357067551,-0.36017021234578317,0.0014727615015705632,-0.0033033952617978358,-0.03215315225006077,0.006696407623234625,-0.010471808414950844,-0.010269285841530137,0.010656032078515473,-0.006237424858872078,-0.001157001770004453,0.0003840169768859327,-0.016146183970469078,-0.0008187944209764854,-0.05207837732740099,0.05207837732740089,-0.19060373956099386,0.190603739560994,1.0,-0.012781596094883165,0.01278159609488201
unequal_supply_regions,0.14247354117207522,0.026076379840185297,0.23774733256375655,0.025361182908048643,0.05448158439815074,-0.1892922839587178,0.06797156044799729,0.01947286375758599,-0.02507248571095806,0.014712159211349572,0.0010885968071313555,0.14290212641428127,0.1830919183240906,0.03361925094439985,0.18257951666018937,-0.176526948509311,-0.45539857943457007,-0.23549930191838572,-0.14445393338794793,-0.11217738915173302,0.05629245076182629,-0.4554740767366671,-0.006357837823587458,0.00635783782362587,0.014804676554973174,-0.014804676554961765,-0.012781596094883165,1.0,-0.9999999999999982
equal_supply_regions,-0.14247354117196087,-0.026076379840182184,-0.23774733256371092,-0.02536118290804444,-0.054481584397939806,0.18929228395887013,-0.0679715604479849,-0.019472863757577053,0.025072485710966753,-0.01471215921135479,-0.001088596807131199,-0.14290212641407263,-0.18309191832408528,-0.033619250944397785,-0.18257951665997613,0.17652694850926293,0.45539857943449163,0.23549930191830856,0.14445393338786783,0.11217738915165816,-0.056292450761700766,0.45547407673658286,0.00635783782354614,-0.00635783782358233,-0.014804676554973044,0.014804676554961616,0.01278159609488201,-0.9999999999999982,1.0
